date(d/month/y/h/min/s);price_USD;low;high;market_cap;diluted_market_cap;volume
06/06/2023:11:51:58;25,981.56;25,434.87;26,810.22;504,344,955,773;546,094,026,100;23,005,579,740;
07/06/2023:09:35:09;26,794.83;25,442.77;27,332.18;519,764,074,419;562,766,655,686;25,407,464,030;
08/06/2023:18:18:59;26,644.18;26,146.99;26,797.51;516,504,554,985;559,202,516,381;12,685,693,024;
10/06/2023:19:13:01;25,783.42;25,501.84;26,531.05;500,153,896,477;541,446,264,514;19,619,578,264;
11/06/2023:09:49:02;25,791.13;25,501.84;26,143.30;500,051,012,344;541,312,394,992;12,864,775,922;
11/06/2023:12:00:03;25,740.34;25,501.84;26,143.30;500,038,068,654;541,296,457,960;12,512,456,855;
11/06/2023:20:00:02;25,912.87;25,668.99;26,203.44;503,120,061,274;544,623,454,723;10,534,182,972;
11/06/2023:20:30:02;25,903.87;25,668.99;26,203.44;502,702,143,204;544,171,061,745;10,614,467,624;
12/06/2023:08:30:01;25,964.59;25,675.20;26,203.44;503,965,073,776;545,526,391,580;12,290,677,449;
12/06/2023:12:00:03;25,826.71;25,675.20;26,203.44;501,092,564,416;542,412,293,105;12,656,528,587;
12/06/2023:12:30:02;25,802.94;25,675.20;26,203.44;500,493,062,058;541,763,356,218;12,738,984,356;
12/06/2023:16:00:07;25,848.91;25,675.20;26,203.44;501,371,323,780;542,709,311,103;12,701,864,726;
12/06/2023:16:30:02;25,790.04;25,675.20;26,203.44;500,238,737,478;541,483,343,238;12,636,953,237;
12/06/2023:20:00:02;25,927.30;25,675.20;26,087.92;502,974,105,052;544,440,031,949;11,948,578,134;
12/06/2023:20:30:02;25,918.18;25,675.20;26,087.92;502,716,441,950;544,161,126,720;11,750,551,651;
13/06/2023:16:30:06;25,915.66;25,728.37;26,376.35;502,725,472,060;544,148,294,571;14,136,142,320;
13/06/2023:20:30:06;25,866.81;25,728.37;26,376.35;501,922,926,846;543,274,890,123;14,130,851,371;
14/06/2023:08:30:06;25,972.63;25,728.37;26,376.35;503,701,555,505;545,191,793,281;12,209,659,328;
14/06/2023:16:00:01;25,927.26;25,774.84;26,041.80;502,831,905,150;544,242,626,889;9,846,168,400;
15/06/2023:12:00:01;25,014.42;24,797.17;26,017.77;485,524,806,364;525,488,697,230;18,037,241,257;
15/06/2023:12:30:01;24,971.71;24,797.17;26,016.19;484,950,071,017;524,866,655,010;18,083,416,796;
16/06/2023:20:00:02;26,361.03;25,245.36;26,463.17;511,296,211,486;553,346,258,458;16,482,851,057;
18/06/2023:12:00:05;26,531.67;26,374.90;26,650.18;515,325,518,837;557,664,381,210;8,691,357,390;
18/06/2023:20:00:03;26,416.14;26,388.60;26,675.93;513,021,565,154;555,161,838,267;9,060,171,296;
20/06/2023:08:00:07;26,767.01;26,338.54;27,147.47;519,634,043,232;562,278,155,690;15,046,371,889;
20/06/2023:12:00:02;$26,770.68;$26,338.54;$27,147.47;$519,508,795,669;$562,138,284,813;$15,763,874,149;
20/06/2023:16:00:02;$28,093.61;$26,427.67;$28,093.61;$545,229,398,035;$589,965,863,296;$19,751,679,799;
21/06/2023:20:00:06;$30,097.93;$28,176.54;$30,737.33;$584,465,853,767;$632,391,557,620;$33,553,613,874;
22/06/2023:12:00:07;$29,679.16;$29,524.16;$30,737.33;$577,312,174,713;$624,635,577,370;$29,027,155,816;
24/06/2023:16:00:06;$30,657.13;$30,290.15;$30,960.98;$595,432,038,041;$644,177,501,751;$14,607,756,114;
